Version: Taxi Continuous/Discontinuous v4.1.9735.16533
TriggerVersion: v4
TaskType: Discontinuous
MazeName: DTL Cam
NumberOfTrials: 1
PosterLocations: 
CompletionWindow: 60000
TimeoutDuration: 10000
IntersessionInterval: 1000
RewardTime: 1000
RewardViewCriteria: 45
RotationSpeed: 5
MovementSpeed: 5
JoystickDeadzone: 0
AngleRestrictionAmount: 0
RequiredDistance: 1
ProximityDistance: 1
DirectionErrorDistance: 0.5
isJoystickEnabled: True
isReverseEnabled: True
isForwardEnabled: True
isRightEnabled: True
isLeftEnabled: True
isYInverted: False
isXInverted: False
RestartOnTrialFail: True
ResetPositionOnTrial: True
FaceRandomDirectionOnStart: False
MultipleWaypoints: False
DisableInterSessionBlackout: True
ResetPositionOnSession: False
EnableDirectionError: False
DisableHint: False
EnableRewardAreaError: False
RewardAreaErrorTime: -1
--- Start of Dataset --- 

 0 0.01150140 0.0000 -10.1059 0.0004
 0 0.13374530 0.0000 -10.1059 0.0004
 0 0.03669850 0.0000 -10.1059 0.0004
 0 0.02465360 0.0000 -10.1059 0.0004
 0 0.01067840 0.0000 -10.1059 0.0004
 84 0.01067840 -12.8900 0.0600 90.0000
 0 0.01067840 -12.8900 0.0600 90.0000
 0 0.02000000 -12.8900 0.0600 90.0000
 0 0.03717880 -12.8900 0.0600 90.0000
 0 0.02615670 -12.8900 0.0600 90.0000
 0 0.01618330 -12.8900 0.0600 90.0000
 0 0.01444150 -12.8900 0.0600 90.0000
 0 0.01521350 -12.8900 0.0600 90.0000
 0 0.01428890 -12.8900 0.0600 90.0000
 0 0.02059110 -12.8900 0.0600 90.0000
 0 0.01443340 -12.8900 0.0600 90.0000
 0 0.02509100 -12.8900 0.0600 90.0000
 0 0.01374820 -12.8900 0.0600 90.0000
 0 0.01363680 -12.8900 0.0600 90.0000
 0 0.01372600 -12.8900 0.0600 90.0000
 0 0.01477510 -12.8900 0.0600 90.0000
 0 0.01455160 -12.8900 0.0600 90.0000
 0 0.01368750 -12.8900 0.0600 90.0000
 0 0.01249130 -12.8900 0.0600 90.0000
 0 0.01210600 -12.8900 0.0600 90.0000
 0 0.01332030 -12.8900 0.0600 90.0000
 0 0.02204320 -12.8900 0.0600 90.0000
 0 0.01636150 -12.8900 0.0600 90.0000
 0 0.01601520 -12.8900 0.0600 90.0000
 0 0.01155800 -12.8900 0.0600 90.0000
 0 0.01237570 -12.8900 0.0600 90.0000
 0 0.01281370 -12.8900 0.0600 90.0000
 0 0.01199700 -12.8900 0.0600 90.0000
 0 0.01110680 -12.8900 0.0600 90.0000
 0 0.01210010 -12.8900 0.0600 90.0000
 0 0.01228770 -12.8900 0.0600 90.0000
 0 0.01140270 -12.8900 0.0600 90.0000
 0 0.01250820 -12.8900 0.0600 90.0000
 0 0.01180830 -12.8900 0.0600 90.0000
 0 0.01210490 -12.8900 0.0600 90.0000
 0 0.01309800 -12.8900 0.0600 90.0000
 0 0.01160900 -12.8900 0.0600 90.0000
 0 0.01099720 -12.8900 0.0600 90.0000
 0 0.01132550 -12.8900 0.0600 90.0000
 0 0.01426990 -12.8900 0.0600 90.0000
 0 0.01212690 -12.8900 0.0600 90.0000
 0 0.01350680 -12.8900 0.0600 90.0000
 0 0.01303740 -12.8900 0.0600 90.0000
